残（ざん）念（ねん）ですが,,,
木（き）村（むら）,はい。,11.620473,12.897711
ミラー,木（き）村（むら）さんですか。　ミラーです。,12.897711,15.981337
木（き）村（むら）,ああ、　ミラーさん、　こんばんは。　お元（げん）気（き）ですか。,15.981337,19.880038
ミラー,ええ、　元（げん）気（き）です。,19.880038,26.428582
,あのう、　木（き）村（むら）さん、　クラシックの　コンサート、　いっしょに　いかがですか。,,
木（き）村（むら）,いいですね。　いつですか。,26.428582,28.985441
ミラー,来（らい）週（しゅう）の　金（きん）曜（よう）日（び）の　晩（ばん）です。,28.985441,31.17184
木（き）村（むら）,金（きん）曜（よう）日（び）ですか。,31.17184,35.2896
,金（きん）曜（よう）日（び）の晩（ばん）　ちょっと……。,,
ミラー,だめですか。,35.2896,36.574837
木（き）村（むら）,ええ、　残（ざん）念（ねん）ですが、　友（とも）達（だち）と　約（やく）束（そく）が　ありますから、……。,36.574837,41.088628
ミラー,そうですか。,41.088628,42.395173
木（き）村（むら）,ええ。　また　今（こん）度（ど）　お願（ねが）いします。,42.395173,45.88589
