1,テレビで　日本（にほん）語（ご）を　勉（べん）強（きょう）しましたか。,5.224227,8.021883
,いいえ、　ラジオで　勉（べん）強（きょう）しました。,8.021883,11.296178
2,日本（にほん）語（ご）で　レポートを　書（か）きますか。,13.730153,16.513562
,いいえ、　英（えい）語（ご）で　書（か）きます。,16.513562,19.353408
3,“Goodbye”は　日本（にほん）語（ご）で　何（なに）ですか。,21.288304,24.55206
,「さようなら」です。,24.55206,26.636826
4,でれに　年（ねん）賀（が）状（じょう）を　書（か）きますか。,28.854272,31.493132
,先（せん）生（せい）と　友（とも）達（だち）に　書（か）きます。,31.493132,34.090101
5,それは　何（なん）ですか。,36.239287,38.527642
,手（て）帳（ちょう）です。　山（やま）田（だ）さんに　もらいました。,38.527642,42.114703
6,もう　新（しん）幹（かん）線（せん）の　切（きっ）符（ぷ）を　買（か）いましたか。,44.383008,47.676047
,はい、　もう　買（か）いました。,47.676047,50.130427
7,もう　昼（ひる）ごはんを　食（た）べましたか。,52.185252,54.803902
,いいえ、　まだです。　これから　食（た）べます。,54.803902,58.085314
