みどり町（ちょう）まで　お願（ねが）いします,,,
カリナ,みどり町（ちょう）まで　お願（ねが）いします。,6.577764,9.225257
運（うん）転（てん）手（しゅ）,はい。,9.225257,10.055749
カリナ,すみません。　あの　信（しん）号（ごう）を　右（みぎ）へ　曲（ま）がって　ください。,17.21772,22.074876
運（うん）転（てん）手（しゅ）,右（みぎ）ですね。,22.074876,23.228882
カリナ,ええ。,23.228882,24.355012
運（うん）転（てん）手（しゅ）,まっすぐですか。,25.253327,27.20391
カリナ,ええ、　まっすぐ　行（い）って　ください。,27.20391,29.784707
カリナ,あの　花（はな）屋（や）の　前（まえ）で　止（と）めて　ください。,30.486241,33.639765
運（うん）転（てん）手（しゅ）,はい。　１，８００円（えん）です。,41.909487,43.430277
カリナ,これで　お願（ねが）いします。,43.430277,45.531863
運（うん）転（てん）手（しゅ）,３，２００円（えん）の　お釣（つ）りです。　ありがとう　ございました。,45.531863,50.891458
