祇（ぎ）園（おん）祭（まつり）は　どうでしたか,,,
ミラー,ただいま。,6.792958,8.034857
管（かん）理（り）人（にん）,お帰（かえ）りなさい。,8.034857,9.760888
ミラー,これ、　京（きょう）都（と）の　お土産（みやげ）です。,9.760888,11.491144
管（かん）理（り）人（にん）,どうも　すみません。,11.491144,13.352565
,祇（ぎ）園（おん）祭（まつり）は　どうでしたか。,13.352565,15.833133
ミラー,おもしろかったです。とても　にぎやかでした。,15.833133,19.454961
管（かん）理（り）人（にん）,祇（ぎ）園（おん）祭（まつり）は　京（きょう）都（と）の　祭（まつ）りで　いちばん　有（ゆう）名（めい）ですからね。,19.454961,23.380296
ミラー,そうですか。写（しゃ）真（しん）を　たくさん　撮（と）りました。　これです。,23.380296,28.059574
管（かん）理（り）人（にん）,わあ、　すごい　人（ひと）ですね。,28.059574,30.998356
ミラー,ええ。　ちょっと　疲（つか）れました。,30.998356,33.63796
