そろそろ　失（しつ）礼（れい）します,,,
山（やま）田（だ）一（いち）郎（ろう）,マリアさん、　日本（にほん）の　生（せい）活（かつ）は　どうですか。,5.893778,9.930369
マリア・サントス,毎（まい）日（にち）　とても　楽（たの）しいです。,9.930369,12.157151
山（やま）田（だ）一（いち）郎（ろう）,そうですか。　サントスさん、　お仕（し）事（ごと）は　とうですか。,12.157151,16.534288
ジョゼ・サントス,そうですね。　忙（いそが）しいですが、　おもしろいです。,16.534288,20.384852
,…………………………………………..,,
山（やま）田（だ）友（とも）子（こ）,コーヒー、　もう　一（いっ）杯（ぱい）　いかがですか。,21.113895,24.667451
マリア・サントス,いいえ、　けっこうです。,24.667451,26.939172
,…………………………………………..,,
ジョゼ・サントス,あ、　もう　六（ろく）時（じ）ですね。　そろそろ　失（しつ）礼（れい）します。,28.14152,33.10297
山（やま）田（だ）一（いち）郎（ろう）,そうですか。,33.10297,34.252435
マリア・サントス,きょうは　どうも　ありがとう　ございました。,34.252435,36.926563
山（やま）田（だ）友（とも）子（こ）,いいえ。　また　いらっしゃって　ください。,36.926563,40.146951
