この 電（でん）車（しゃ）は 甲（こう）子（し）園（えん）へ 行（い）きますか,,,
サントス,すみません。 甲（こう）子（し）園（えん）まで いくらですか。,7.635034,10.997908
女（おんな）の 人（ひと）,350円（えん）です。,10.997908,12.95239
サントス,350円（えん）ですね。 ありがとう ございました。,12.95239,16.253258
女（おんな）の 人（ひと）,どう うたしまして。,16.253258,17.720061
,……………………….,,
サントス,すみません。 甲（こう）子（し）園（えん）は なん番線ですか。,24.582052,28.549245
駅（えき）員（いん）,5番線です。,28.549245,29.992692
サントス,どうも。,29.992692,31.258061
,................,,
サントス,あのう、 この 電車（でんしゃ）は 甲（こう）子（し）園（えん）へ 行（い）きますか。,38.655924,42.529346
男（おとこ）の 人（ひと）,いいえ。 次（つぎ）の 「普（ふ）通（つう）」ですよ。,42.529346,45.003474
サントス,そうですか。 どうも。,45.003474,47.409476
