これ、　お願（ねが）いします,,,
管（かん）理（り）人（にん）,いい　天（てん）気（き）ですね。　お出（で）かけですか。,6.233168,9.513487
ワン,ええ、　ちょっと　郵（ゆう）便（びん）局（きょく）まで。,9.513487,11.721239
管（かん）理（り）人（にん）,そうですか。　行（い）ってらっしゃい。,11.721239,13.991029
ワン,行（い）って　きます。,13.991029,14.962689
,.....................................,,
ワン,これ、　オーストラリアまで　お願（ねが）いします。,21.838049,24.616868
郵（ゆう）便（びん）局（きょく）員（いん）,はい。　船（ふな）便（びん）ですか、　航（こう）空（くう）便（びん）ですか。,24.616868,28.057368
ワン,航（こう）空（くう）便（びん）は　いくらですか。,28.057368,30.205141
郵（ゆう）便（びん）局（きょく）員（いん）,７６００円（えん）です。,30.205141,32.105295
ワン,船（ふな）便（びん）は？,32.105295,33.264363
郵（ゆう）便（びん）局（きょく）員（いん）,３４５０円（えん）です。,33.264363,35.300218
ワン,どのくらい　かかりますか。,35.300218,37.281996
郵（ゆう）便（びん）局（きょく）員（いん）,航（こう）空（くう）便（びん）で　７（なの）日（か）、　船（ふな）便（びん）で　２か月（げつ）ぐらいです。,37.281996,41.017186
ワン,じゃ、　船（ふな）便（びん）で　お願（ねが）いします。,41.017186,43.759553
