1,今（いま）　何（なに）が　いちばん　欲（ほ）しいですか。,4.61787,7.500657
,新（あたら）しい　ケータイが　欲（ほ）しいです。,7.500657,9.919545
2,夏（なつ）休（やす）みは　どこへ　行（い）きたいですか。,12.62975,15.531336
,沖（おき）縄（なわ）へ　行（い）きたいです。,15.531336,17.501449
3,きょうは　疲（つか）れましたから、　何（なに）も　したくないです。,20.256507,23.232684
,そうですね。　きょうの　会（かい）議（ぎ）は　大（たい）変（へん）でしたね。,23.232684,27.696645
4,週（しゅう）末（まつ）は　何（なに）を　しますか。,30.426865,32.443404
,子（こ）どもと　神（こう）戸（べ）へ　船（せん）を　見（み）に　行（い）きます。,32.443404,35.609602
5,日（にほん）本へ　何（なん）の　勉（べん）強（きょう）に　来（き）ましたか。,38.005402,40.919555
,美（び）術（じゅつ）の　勉（べん）強（きょう）に　来（き）ました。,40.919555,43.046725
6,冬（ふゆ）休（やす）みは　どこか　行（い）きましたか。,45.508401,49.362577
,ええ。　北（ほっ）海（かい）道（どう）へ　スキーに　行（い）きました。,49.362577,52.365548
